iter	Logloss	AUC
0	0.6448194867	0.7682582145
1	0.607758375	0.7709076946
2	0.5758637492	0.784796913
3	0.551903154	0.7927713041
4	0.5332318789	0.7941356654
5	0.5150278419	0.8096709962
6	0.4981578097	0.8208246336
7	0.4843958097	0.8262830057
8	0.4721391133	0.8304934241
9	0.4641616824	0.832953927
10	0.4566657297	0.8341192089
11	0.4513567891	0.8353361143
12	0.4461571177	0.836078028
13	0.4429649032	0.8362189036
14	0.4400324731	0.8367457967
15	0.4364922586	0.8384085918
16	0.4337181267	0.8394590415
17	0.4312398356	0.8402283889
18	0.4289058408	0.841044355
19	0.4254447586	0.8430530367
20	0.4237811316	0.8440475069
21	0.4224296506	0.8449406766
22	0.4211809482	0.845596304
23	0.4195947296	0.8465796525
24	0.4184123897	0.8471632666
25	0.4173824539	0.8473435317
26	0.4163019916	0.8476419655
27	0.4157323237	0.847795353
28	0.4148272872	0.8480769188
29	0.4141201361	0.8482744226
30	0.4134044975	0.8486584012
31	0.4126667291	0.84926741
32	0.4122513812	0.8493826128
33	0.4117588892	0.8496059748
34	0.4111974174	0.8500822639
35	0.4101109651	0.8505809819
36	0.4094272219	0.8511035191
37	0.4089359991	0.8513954651
38	0.4083406702	0.8518510864
39	0.4080225422	0.85213154
40	0.4078091866	0.852248133
41	0.4075754475	0.852370287
42	0.4072188606	0.8526411017
43	0.4067593706	0.8528277618
44	0.4064013941	0.8530090464
45	0.4060857601	0.8531366686
46	0.4056583406	0.8533796789
47	0.4054007876	0.8535558661
48	0.4051588193	0.8536024847
49	0.4047528301	0.8538461439
50	0.404582414	0.8539286302
51	0.4042816304	0.8541460605
52	0.4039803937	0.8543010236
53	0.4038041133	0.8544109437
54	0.4036646163	0.8544862935
55	0.4036261553	0.8544905569
56	0.4035249577	0.854559141
57	0.4034757326	0.8546116913
58	0.4034202892	0.8546661879
59	0.4032651493	0.8547360696
60	0.4030156741	0.8549873286
61	0.4026513891	0.8552055004
62	0.4025999263	0.8552199587
63	0.4024740073	0.855275104
64	0.4023623935	0.8553296933
65	0.4022867298	0.8554015213
66	0.4022356526	0.8554330329
67	0.4021261168	0.8555253435
68	0.4021113091	0.8555268264
69	0.4019786246	0.8556158005
70	0.4018610668	0.8556517608
71	0.4016560708	0.8557675197
