iter	Passed	Remaining
0	14	4305
1	29	4326
2	61	6134
3	92	6872
4	124	7361
5	157	7715
6	174	7301
7	202	7394
8	251	8126
9	283	8212
10	313	8243
11	344	8275
12	377	8334
13	410	8383
14	430	8176
15	456	8108
16	485	8081
17	516	8096
18	558	8261
19	577	8084
20	622	8275
21	656	8293
22	687	8278
23	718	8265
24	747	8220
25	780	8220
26	810	8191
27	839	8156
28	858	8025
29	888	7994
30	918	7970
31	951	7969
32	984	7966
33	1013	7927
34	1056	8002
35	1077	7899
36	1106	7863
37	1137	7845
38	1182	7915
39	1201	7809
40	1219	7702
41	1249	7675
42	1290	7713
43	1311	7630
44	1341	7600
45	1372	7579
46	1407	7576
47	1436	7542
48	1466	7512
49	1495	7478
50	1529	7465
51	1561	7444
52	1592	7421
53	1611	7339
54	1628	7253
55	1652	7199
56	1683	7176
57	1715	7159
58	1744	7125
59	1776	7104
60	1794	7029
61	1839	7061
62	1870	7035
63	1904	7021
64	1931	6983
65	1962	6956
66	1994	6936
67	2025	6908
68	2057	6887
69	2088	6861
70	2119	6835
71	2152	6816
72	2183	6790
73	2216	6768
74	2246	6740
75	2309	6807
76	2340	6777
77	2372	6751
78	2391	6689
79	2419	6652
80	2451	6628
81	2481	6597
82	2512	6567
83	2543	6541
84	2572	6507
85	2601	6473
86	2646	6478
87	2665	6421
88	2697	6394
89	2729	6368
90	2761	6341
91	2792	6313
92	2824	6286
93	2855	6257
94	2889	6234
95	2921	6208
96	2950	6175
97	2982	6147
98	3013	6117
99	3032	6065
100	3061	6031
101	3091	6000
102	3122	5971
103	3152	5941
104	3196	5936
105	3228	5908
106	3259	5879
107	3291	5850
108	3323	5823
109	3347	5782
110	3368	5734
111	3399	5705
112	3430	5677
113	3462	5650
114	3493	5620
115	3527	5595
116	3560	5568
117	3606	5562
118	3637	5532
119	3655	5483
120	3693	5464
121	3732	5445
122	3751	5398
123	3777	5362
124	3820	5348
125	3840	5303
126	3872	5275
127	3903	5245
128	3932	5212
129	3951	5167
130	3994	5153
131	4024	5121
132	4055	5091
133	4086	5062
134	4117	5033
135	4148	5002
136	4178	4971
137	4210	4942
138	4242	4914
139	4271	4881
140	4302	4851
141	4332	4821
142	4364	4792
143	4395	4761
144	4425	4730
145	4474	4719
146	4505	4689
147	4537	4660
148	4567	4628
149	4597	4597
150	4641	4580
151	4674	4551
152	4724	4538
153	4765	4517
154	4786	4477
155	4816	4445
156	4847	4414
157	4879	4385
158	4910	4354
159	4942	4324
160	4974	4294
161	5019	4276
162	5052	4246
163	5083	4215
164	5116	4186
165	5145	4153
166	5189	4132
167	5209	4093
168	5239	4061
169	5256	4019
170	5272	3977
171	5290	3936
172	5318	3904
173	5352	3875
174	5381	3843
175	5412	3813
176	5444	3783
177	5476	3753
178	5493	3713
179	5523	3682
180	5557	3654
181	5587	3622
182	5634	3602
183	5665	3571
184	5682	3532
185	5711	3500
186	5744	3471
187	5775	3440
188	5818	3417
189	5838	3379
190	5867	3348
191	5910	3324
192	5930	3287
193	5974	3264
194	5994	3227
195	6027	3198
196	6057	3167
197	6088	3136
198	6117	3104
199	6150	3075
200	6181	3044
201	6213	3014
202	6245	2984
203	6275	2953
204	6304	2921
205	6340	2893
206	6366	2860
207	6397	2829
208	6430	2799
209	6459	2768
210	6501	2742
211	6522	2707
212	6553	2676
213	6584	2646
214	6616	2615
215	6648	2585
216	6679	2554
217	6711	2524
218	6742	2493
219	6773	2463
220	6806	2433
221	6836	2401
222	6868	2371
223	6898	2340
224	6929	2309
225	6961	2279
226	6995	2249
227	7023	2217
228	7055	2187
229	7087	2157
230	7121	2127
231	7150	2095
232	7182	2065
233	7214	2034
234	7244	2003
235	7277	1973
236	7308	1942
237	7340	1912
238	7369	1880
239	7401	1850
240	7431	1819
241	7464	1789
242	7495	1758
243	7528	1727
244	7546	1694
245	7574	1662
246	7604	1631
247	7636	1601
248	7666	1570
249	7697	1539
250	7728	1508
251	7757	1477
252	7787	1446
253	7818	1415
254	7849	1385
255	7882	1354
256	7914	1324
257	7944	1293
258	7976	1262
259	8008	1232
260	8039	1201
261	8071	1170
262	8103	1139
263	8123	1107
264	8149	1076
265	8180	1045
266	8199	1013
267	8228	982
268	8247	950
269	8276	919
270	8312	889
271	8336	858
272	8372	828
273	8403	797
274	8472	770
275	8514	740
276	8543	709
277	8577	678
278	8608	647
279	8640	617
280	8670	586
281	8702	555
282	8731	524
283	8762	493
284	8790	462
285	8822	431
286	8853	401
287	8886	370
288	8917	339
289	8947	308
290	8978	277
291	9008	246
292	9040	215
293	9059	184
294	9087	154
295	9108	123
296	9133	92
297	9165	61
298	9195	30
299	9227	0
